# Iteration    J_value
 (1.820000000000000000e+02+0.000000000000000000e+00j)  (1.402167745006641444e-02+1.330040019454835987e-16j)
 (1.830000000000000000e+02+0.000000000000000000e+00j)  (1.412728014035486042e-02-2.134054271895759473e-17j)
 (1.840000000000000000e+02+0.000000000000000000e+00j)  (1.425176311383687285e-02+5.303968717409002001e-18j)
 (1.850000000000000000e+02+0.000000000000000000e+00j)  (1.436672286921693124e-02+1.082390671350344924e-18j)
 (1.860000000000000000e+02+0.000000000000000000e+00j)  (1.448600111615478553e-02-6.512504803656673457e-17j)
 (1.870000000000000000e+02+0.000000000000000000e+00j)  (1.460597091665360482e-02-5.394608100146513492e-17j)
 (1.880000000000000000e+02+0.000000000000000000e+00j)  (1.471555541597611635e-02-1.270426270750917557e-17j)
 (1.890000000000000000e+02+0.000000000000000000e+00j)  (1.483690173777795981e-02+1.407129310777090189e-16j)
 (1.900000000000000000e+02+0.000000000000000000e+00j)  (1.496866197211683090e-02-2.336602936952845887e-17j)
 (1.910000000000000000e+02+0.000000000000000000e+00j)  (1.507656977760519872e-02+4.164205998241587978e-17j)
 (1.920000000000000000e+02+0.000000000000000000e+00j)  (1.519687737720724040e-02+2.054547580768247051e-17j)
 (1.930000000000000000e+02+0.000000000000000000e+00j)  (1.531519166459890426e-02+4.027039504330163707e-17j)
 (1.940000000000000000e+02+0.000000000000000000e+00j)  (1.543782038089232256e-02-1.012218903074664889e-16j)
 (1.950000000000000000e+02+0.000000000000000000e+00j)  (1.555441980078580734e-02+2.211302542021592538e-17j)
 (1.960000000000000000e+02+0.000000000000000000e+00j)  (1.568154327591428712e-02-1.432656615551236339e-16j)
 (1.970000000000000000e+02+0.000000000000000000e+00j)  (1.579779760361457383e-02+7.459446734378115519e-18j)
 (1.980000000000000000e+02+0.000000000000000000e+00j)  (1.590763246580063212e-02-1.000634778672452659e-16j)
 (1.990000000000000000e+02+0.000000000000000000e+00j)  (1.604036130410088981e-02-7.316550764987155075e-17j)
 (2.000000000000000000e+02+0.000000000000000000e+00j)  (1.613328645367811953e-02+3.315848334462968700e-17j)
 (2.010000000000000000e+02+0.000000000000000000e+00j)  (1.627185629181920196e-02-2.518439791609607391e-17j)
 (2.020000000000000000e+02+0.000000000000000000e+00j)  (1.638786085907448578e-02-6.315563027193755878e-17j)
 (2.030000000000000000e+02+0.000000000000000000e+00j)  (1.649766076780783547e-02-2.839724779672965288e-17j)
 (2.040000000000000000e+02+0.000000000000000000e+00j)  (1.662878560075098724e-02+9.044070884316590709e-17j)
 (2.050000000000000000e+02+0.000000000000000000e+00j)  (1.673676073743891532e-02-4.387259702221089050e-18j)
 (2.060000000000000000e+02+0.000000000000000000e+00j)  (1.685448040811633394e-02-1.056429571950100785e-16j)
 (2.070000000000000000e+02+0.000000000000000000e+00j)  (1.696434681828785582e-02-1.724304883210578964e-17j)
